plot,count
27,12
28,8
29,3
30,6
31,21
32,0
33,11
34,4
35,3
36,1
37,2
38,3
39,1
40,7
41,1
42,1
43,14
44,0
45,6
46,0
47,0
48,1
49,7
50,2
1,4
2,12
3,4
4,6
5,2
6,15
7,24
8,7
9,6
10,3
11,9
12,1
13,6
14,10
15,4
16,27
17,4
18,1
19,1
20,11
21,20
22,9
23,4
24,5
25,26
26,1
27,2
28,0
29,2
30,13
31,0
32,0
33,2
34,0
35,7
36,130
37,53
38,4
39,8
40,12
41,3
42,3
43,1
44,1
45,1
46,1
47,6
48,5
49,6
50,5
1,3
2,2
3,8
4,12
5,16
6,17
7,3
8,131
9,8
10,0
11,11
12,10
13,0
14,2
15,1
16,14
17,0
18,3
19,29
20,3
21,0
22,0
23,6
24,51
26,2
27,14
28,47
29,4
30,4
31,1
32,5
33,6
34,1
36,6
37,5
38,6
39,11
40,1
41,0
42,19
43,3
44,40
45,21
46,0
47,1
48,2
49,10
50,71
1,12
2,18
3,5
4,14
5,17
6,9
7,3
8,2
9,3
10,5
11,3
12,5
13,6
14,14
15,15
16,0
17,4
18,15
19,9
20,3
21,8
22,6
23,9
24,10
25,8
26,1
27,0
28,5
29,6
30,12
31,3
32,25
33,1
34,2
35,6
36,7
37,0
38,17
39,6
40,1
41,12
42,4
43,2
44,5
45,11
46,2
47,18
48,29
49,4
50,9
1,4
2,3
3,2
4,6
5,1
6,6
7,17
8,0
9,3
10,2
11,2
12,0
13,3
14,1
15,2
16,2
17,6
18,0
19,1
20,1
21,0
22,6
23,6
24,0
25,0
26,22
27,0
28,5
29,4
30,0
31,2
32,1
33,6
34,2
35,37
36,4
37,0
38,10
39,3
40,0
41,7
42,7
43,6
44,14
45,21
46,2
47,32
48,3
49,3
50,1
1,1
2,1
3,16
4,6
5,9
6,10
7,12
8,8
9,2
10,2
11,13
12,7
13,14
14,30
15,45
16,11
17,5
18,7
19,4
20,2
21,12
22,13
23,5
24,7
25,5
26,3
27,5
28,6
29,3
30,3
31,8
32,2
33,12
34,16
35,13
36,4
37,2
38,5
39,0
40,4
42,6
43,0
44,1
45,7
46,14
47,38
48,4
49,7
50,0
1,0
2,1
3,0
4,1
5,1
6,3
7,0
8,1
9,2
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,6
20,31
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,13
30,9
31,4
32,0
33,0
34,0
35,0
36,0
37,0
38,3
39,1
40,4
41,0
42,0
43,0
44,0
45,0
46,0
47,3
48,0
49,5
50,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,2
22,1
23,1
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,2
